Horizonte,CV_MAE,OOF_R2,OOF_MAE,Test_R2,Test_MAE,Test_RMSE,modelo,modelo_nome,dataset,dataset_nome,ticker,tipo,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC,Teste_Precision,Teste_Recall
3 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_janelas,Janelas,SOJA3,classificacao,0.5682965150480515,0.2866330868658426,0.6491405460056261,0.4912280701754385,0.3421359461615562,0.6506024096385542,0.5112482853223594,,
7 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_janelas,Janelas,SOJA3,classificacao,0.5558090449696289,0.3202251345214947,0.6653306613221973,0.5263157894736842,0.3970789780514246,0.6746987951807228,0.6024904214559387,,
15 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_janelas,Janelas,SOJA3,classificacao,0.5865681620581135,0.3396208370451541,0.6727480045605393,0.5730994152046783,0.5161793372319688,0.6755555555555556,0.6796703296703296,,
30 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_janelas,Janelas,SOJA3,classificacao,0.639693514801103,0.3324455713927257,0.68461538461491,0.5906432748538012,0.5591249219489596,0.6634615384615384,0.7640277777777778,,
3 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_janelas,Janelas,SLCE3,classificacao,0.5929853224820484,0.3438360052205065,0.6720729853011247,0.5060606060606061,0.3400890189622584,0.6720321931589537,0.590646927004886,,
7 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_janelas,Janelas,SLCE3,classificacao,0.6405371385836376,0.3642706866567302,0.6983805668011633,0.5424242424242425,0.3970791950926132,0.6973947895791583,0.6456675508399646,,
15 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_janelas,Janelas,SLCE3,classificacao,0.6820570670695223,0.3582543291519195,0.7077958496910518,0.6151515151515151,0.5640928177513543,0.7208791208791209,0.6773728562980486,,
30 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_janelas,Janelas,SLCE3,classificacao,0.713848446864313,0.2852649035429818,0.7363344051442189,0.6454545454545455,0.5942732186408936,0.7473002159827213,0.7385283635283635,,
3 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_janelas,Janelas,AGRO3,classificacao,0.6075101987585387,0.4498956105074848,0.6850551654960387,0.5181818181818182,0.3537289058247142,0.6826347305389222,0.5557394534554415,,
7 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_janelas,Janelas,AGRO3,classificacao,0.6681399776906567,0.2348348099619946,0.7072691552058296,0.5515151515151515,0.3953368983957219,0.7098039215686275,0.5572323779153843,,
15 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_janelas,Janelas,AGRO3,classificacao,0.6695975952169019,0.3861938821510978,0.7254901960779587,0.5878787878787879,0.4716975595890316,0.7290836653386454,0.5952807646356033,,
30 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_janelas,Janelas,AGRO3,classificacao,0.7089800549711838,0.249092394190685,0.7449275362314156,0.6,0.4621978021978022,0.7461538461538462,0.6463386901152214,,
3 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_indicadores,Indicadores,SOJA3,classificacao,0.5887872341812446,0.2847714205854804,0.6520833333328896,0.4911242603550296,0.3513476140451537,0.6475409836065574,0.5209269662921348,,
7 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_indicadores,Indicadores,SOJA3,classificacao,0.5857315699895915,0.2604893602711188,0.662686567163736,0.5029585798816568,0.3430576579056006,0.6666666666666666,0.6334733893557423,,
15 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_indicadores,Indicadores,SOJA3,classificacao,0.5973580508020422,0.3347859793639891,0.6751152073728075,0.5621301775147929,0.5017721819341252,0.6696428571428571,0.660252808988764,,
30 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_indicadores,Indicadores,SOJA3,classificacao,0.6752292719221293,0.347819155667284,0.72655217965606,0.6923076923076923,0.6775002775002775,0.7373737373737373,0.7990945104697227,,
3 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_indicadores,Indicadores,SLCE3,classificacao,0.5825956505823957,0.3663218803376584,0.6736292428193923,0.5137614678899083,0.3684801691480532,0.6721649484536083,0.5817433595211373,,
7 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_indicadores,Indicadores,SLCE3,classificacao,0.6361378998576159,0.3466613043392808,0.6916578669477957,0.5351681957186545,0.4233694280333564,0.6820083682008368,0.6451612903225806,,
15 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_indicadores,Indicadores,SLCE3,classificacao,0.6762480300816931,0.3651708186818082,0.7112875779915802,0.6055045871559633,0.5558776960677143,0.7114093959731543,0.6660526315789475,,
30 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_indicadores,Indicadores,SLCE3,classificacao,0.7258048136254222,0.2816023826668976,0.7362637362632587,0.636085626911315,0.5902470355985374,0.7361419068736141,0.7329004982636267,,
3 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_indicadores,Indicadores,AGRO3,classificacao,0.6058736181660571,0.4284578111487777,0.6831483350146864,0.5198776758409785,0.3556507239153576,0.6841046277665996,0.5764331210191083,,
7 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_indicadores,Indicadores,AGRO3,classificacao,0.6712656362307872,0.4391722715680063,0.7074761665825813,0.5474006116207951,0.4009700146947853,0.704,0.5570092753186033,,
15 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_indicadores,Indicadores,AGRO3,classificacao,0.6770757430427878,0.3632678361855811,0.730653266331193,0.5932721712538226,0.4771893206959868,0.7323943661971831,0.64867941712204,,
30 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_indicadores,Indicadores,AGRO3,classificacao,0.7374237899288432,0.2710178549581473,0.7552721922506322,0.6146788990825688,0.488512476350266,0.754863813229572,0.6527788543523757,,
3 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_base,Base,SOJA3,classificacao,0.5662133501106874,0.4108871350072566,0.6468646864681881,0.5086705202312138,0.434652053149163,0.6320346320346321,0.5615942028985507,,
7 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_base,Base,SOJA3,classificacao,0.5496526641207493,0.3564440266358334,0.6646884272992568,0.5202312138728323,0.3795155767954136,0.6745098039215687,0.6361935311414061,,
15 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_base,Base,SOJA3,classificacao,0.5828463029304913,0.4029937675828168,0.6727066817662397,0.5722543352601156,0.5119402726382474,0.6782608695652174,0.6810506566604128,,
30 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_base,Base,SOJA3,classificacao,0.6320601073762838,0.2919076060359221,0.6729857819900624,0.5664739884393064,0.518434324698248,0.6575342465753424,0.7528486163863267,,
3 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_base,Base,SLCE3,classificacao,0.5975518883654323,0.355087865703998,0.678626345463414,0.5196374622356495,0.3681110177338265,0.6787878787878788,0.5967353198948291,,
7 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_base,Base,SLCE3,classificacao,0.6498564974188357,0.3857832017685479,0.6986506746622138,0.5468277945619335,0.4050016784155756,0.7,0.6466300366300366,,
15 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_base,Base,SLCE3,classificacao,0.6816503656917888,0.3487636568962028,0.7102493074787459,0.622356495468278,0.5632477943277743,0.7311827956989247,0.6839532490443987,,
30 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_base,Base,SLCE3,classificacao,0.7148818895706508,0.2944305345488736,0.7341635083915085,0.6314199395770392,0.5891724961890127,0.7312775330396476,0.7374833850243686,,
3 dias,,,,,,,regressao_logistica,Regressão Logística,dataset_base,Base,AGRO3,classificacao,0.595107970645153,0.4285579326553773,0.6843156843152338,0.5196374622356495,0.355378304192969,0.68389662027833,0.5310443176831944,,
