Horizonte,CV_MAE,OOF_R2,OOF_MAE,Test_R2,Test_MAE,Test_RMSE,modelo,modelo_nome,dataset,dataset_nome,ticker,tipo,CV_F1_Best,Threshold_Otimo,OOF_F1_Threshold,Teste_Accuracy,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC,Teste_Precision,Teste_Recall
3 dias,0.3856613200174675,0.9336105734899316,0.3856597890109867,0.9422277086914462,0.335093641406645,0.4645441774834528,regressao_linear,Regressão Linear,dataset_janelas,Janelas,SOJA3,regressao,,,,,,,,,
7 dias,0.5452020296081983,0.871815692501713,0.5451444323582524,0.8514375420844632,0.5513537392699679,0.7513551426645199,regressao_linear,Regressão Linear,dataset_janelas,Janelas,SOJA3,regressao,,,,,,,,,
15 dias,0.7402197446214431,0.7694690320489068,0.7400660987912474,0.7028591015268022,0.8559818725323861,1.067705722071093,regressao_linear,Regressão Linear,dataset_janelas,Janelas,SOJA3,regressao,,,,,,,,,
30 dias,1.0202552938881122,0.600590079836671,1.0202712698773777,0.6022041372288081,1.0331724686087496,1.2850610084026008,regressao_linear,Regressão Linear,dataset_janelas,Janelas,SOJA3,regressao,,,,,,,,,
3 dias,0.3998300860751976,0.9904531846536304,0.39983572082606,0.9897917648902466,0.4188106810242785,0.6054941464343622,regressao_linear,Regressão Linear,dataset_janelas,Janelas,AGRO3,regressao,,,,,,,,,
7 dias,0.6215515137459066,0.9778011515496258,0.6215639226551459,0.9784248200119624,0.6114946408674553,0.8848609890956665,regressao_linear,Regressão Linear,dataset_janelas,Janelas,AGRO3,regressao,,,,,,,,,
15 dias,0.9170838132017044,0.9534178148845004,0.9171383730167796,0.9555521875851648,0.8768209549271156,1.2613866907427764,regressao_linear,Regressão Linear,dataset_janelas,Janelas,AGRO3,regressao,,,,,,,,,
30 dias,1.2522071383933386,0.9164337929766334,1.2522117974553322,0.9161644652954396,1.2898860180582477,1.7504280244323769,regressao_linear,Regressão Linear,dataset_janelas,Janelas,AGRO3,regressao,,,,,,,,,
3 dias,0.3644636019602392,0.990860124567062,0.3644507035147545,0.9900648478883988,0.3739409941411418,0.5297384287143602,regressao_linear,Regressão Linear,dataset_janelas,Janelas,SLCE3,regressao,,,,,,,,,
7 dias,0.5615194088747882,0.9797409640667544,0.5615178738448583,0.9792100802383942,0.5756089068277774,0.76340592720552,regressao_linear,Regressão Linear,dataset_janelas,Janelas,SLCE3,regressao,,,,,,,,,
15 dias,0.8118870853499995,0.9588878518437602,0.8119018143401029,0.9638914238818166,0.7539688244781331,0.9974333638477773,regressao_linear,Regressão Linear,dataset_janelas,Janelas,SLCE3,regressao,,,,,,,,,
30 dias,1.1265639394500933,0.9230492765282474,1.1265633452308736,0.9364070732740126,1.0451241873921515,1.3097697520810316,regressao_linear,Regressão Linear,dataset_janelas,Janelas,SLCE3,regressao,,,,,,,,,
3 dias,0.3741363234054085,0.9360059852755774,0.3741607254122119,0.9382780860545988,0.3682884185519393,0.4636849427164924,regressao_linear,Regressão Linear,dataset_indicadores,Indicadores,SOJA3,regressao,,,,,,,,,
7 dias,0.5471407844476954,0.8733862669470664,0.547195666549284,0.8460063664781852,0.5592707587460808,0.7347216981053735,regressao_linear,Regressão Linear,dataset_indicadores,Indicadores,SOJA3,regressao,,,,,,,,,
15 dias,0.7770280825671546,0.7490225557543254,0.7770165383183487,0.7554785182958158,0.7369332839852589,0.9650222940457605,regressao_linear,Regressão Linear,dataset_indicadores,Indicadores,SOJA3,regressao,,,,,,,,,
30 dias,0.9954230625607664,0.6136241538517329,0.995328177359719,0.6177306987336069,0.998577508994234,1.2808654855521358,regressao_linear,Regressão Linear,dataset_indicadores,Indicadores,SOJA3,regressao,,,,,,,,,
3 dias,0.4110113211496213,0.9899563424177288,0.4110145011354276,0.9905120377052388,0.3891732192139154,0.5800712355501553,regressao_linear,Regressão Linear,dataset_indicadores,Indicadores,AGRO3,regressao,,,,,,,,,
7 dias,0.6242507794649764,0.9776527643568084,0.6242588329855462,0.9765362677465096,0.6358952442171727,0.914322807445346,regressao_linear,Regressão Linear,dataset_indicadores,Indicadores,AGRO3,regressao,,,,,,,,,
15 dias,0.9135715906822878,0.9527461266434304,0.91359189931678,0.9541934546114508,0.9095128860604758,1.2738173867150315,regressao_linear,Regressão Linear,dataset_indicadores,Indicadores,AGRO3,regressao,,,,,,,,,
30 dias,1.2516109697059576,0.9170717542276954,1.2515974060756372,0.9183602268003698,1.2849801233053084,1.6944390495130135,regressao_linear,Regressão Linear,dataset_indicadores,Indicadores,AGRO3,regressao,,,,,,,,,
3 dias,0.3743652433156652,0.990151596977843,0.3743454637873655,0.9914003785675998,0.3521795674821943,0.4915026368471634,regressao_linear,Regressão Linear,dataset_indicadores,Indicadores,SLCE3,regressao,,,,,,,,,
7 dias,0.569236663113049,0.9790515797706204,0.5692630422777727,0.9797848896796256,0.562144788848917,0.7542498747852212,regressao_linear,Regressão Linear,dataset_indicadores,Indicadores,SLCE3,regressao,,,,,,,,,
15 dias,0.8106610957877003,0.9583572401360458,0.810645824998849,0.9639816567412208,0.7596249751973562,0.9942247500670812,regressao_linear,Regressão Linear,dataset_indicadores,Indicadores,SLCE3,regressao,,,,,,,,,
30 dias,1.0982657620030336,0.9260371296956554,1.0982751904184749,0.928117459464874,1.1234804391962112,1.4029203837830826,regressao_linear,Regressão Linear,dataset_indicadores,Indicadores,SLCE3,regressao,,,,,,,,,
3 dias,0.3929279317937467,0.9300689503180544,0.3929423059263318,0.9514773640020978,0.3184202941166962,0.4129630508982128,regressao_linear,Regressão Linear,dataset_base,Base,SOJA3,regressao,,,,,,,,,
7 dias,0.5611627500768431,0.8660163949028344,0.5611224455408798,0.8696114031135418,0.5099279897580603,0.6865920835738691,regressao_linear,Regressão Linear,dataset_base,Base,SOJA3,regressao,,,,,,,,,
15 dias,0.7734127323598857,0.736740494284079,0.7734521755390591,0.7556973490799209,0.7412083310756826,0.9676017272835316,regressao_linear,Regressão Linear,dataset_base,Base,SOJA3,regressao,,,,,,,,,
30 dias,1.018061888557725,0.5925927738016955,1.0179708910589191,0.6281067142893103,1.018770388172247,1.2790718906561755,regressao_linear,Regressão Linear,dataset_base,Base,SOJA3,regressao,,,,,,,,,
3 dias,0.4072633271371956,0.9903153166000956,0.4072809404033443,0.9907572558952128,0.3812449218820925,0.5782004270542503,regressao_linear,Regressão Linear,dataset_base,Base,AGRO3,regressao,,,,,,,,,
7 dias,0.6289608443819572,0.9772741177982944,0.6289699120358201,0.9814183202561017,0.5665730125552395,0.816621015366154,regressao_linear,Regressão Linear,dataset_base,Base,AGRO3,regressao,,,,,,,,,
15 dias,0.9376096812923272,0.951873663072368,0.9376622787150746,0.9642833374265012,0.7681250603811346,1.129393928430753,regressao_linear,Regressão Linear,dataset_base,Base,AGRO3,regressao,,,,,,,,,
30 dias,1.2578951545954251,0.9162061270664992,1.2579346346933398,0.9226102808378668,1.2331508267377074,1.692156694532209,regressao_linear,Regressão Linear,dataset_base,Base,AGRO3,regressao,,,,,,,,,
3 dias,0.3660158962649521,0.9908926909229396,0.3660394957922567,0.9902895120571568,0.366105277506444,0.5298600205977521,regressao_linear,Regressão Linear,dataset_base,Base,SLCE3,regressao,,,,,,,,,
7 dias,0.5682502853332679,0.9794123466129172,0.5682539499171042,0.9820557730429912,0.5279825902799027,0.718497951294818,regressao_linear,Regressão Linear,dataset_base,Base,SLCE3,regressao,,,,,,,,,
15 dias,0.8177630546352006,0.9584265998785656,0.817794278574245,0.9691083732438202,0.6921998190926041,0.9381378955572672,regressao_linear,Regressão Linear,dataset_base,Base,SLCE3,regressao,,,,,,,,,
30 dias,1.1297340133014553,0.9227208478522132,1.1298078164230931,0.9412133499855572,1.0043630160003518,1.2830820754480872,regressao_linear,Regressão Linear,dataset_base,Base,SLCE3,regressao,,,,,,,,,
3 dias,0.3926861458224457,0.9301386730931792,0.3927060043860143,0.9516612564966804,0.3185905979349277,0.4121797783969509,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SOJA3,regressao,,,,,,,,,
7 dias,0.5615363741945267,0.8653114838670841,0.5614933458233283,0.8688573487723893,0.5100161660951393,0.6885745474868619,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SOJA3,regressao,,,,,,,,,
15 dias,0.7735160122712486,0.7366375476497509,0.7735546277252332,0.7555217132804897,0.7408747254807299,0.9679494823501056,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SOJA3,regressao,,,,,,,,,
30 dias,0.9847371554808644,0.62554048825499,0.9847118233538432,0.6375677309170986,1.0375430213833274,1.262697193187169,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SOJA3,regressao,,,,,,,,,
3 dias,0.4046718437575956,0.9904147385039936,0.4046877823012071,0.990984402368998,0.3794043399320355,0.5710514042620297,regressao_linear,Regressão Linear,dataset_dummy,Dummy,AGRO3,regressao,,,,,,,,,
7 dias,0.616475492499914,0.978142191841016,0.6164862523135043,0.9817499446342628,0.567767300525001,0.8093011544474222,regressao_linear,Regressão Linear,dataset_dummy,Dummy,AGRO3,regressao,,,,,,,,,
15 dias,0.8919536692279879,0.956214178195156,0.8919868893272287,0.9665154365995916,0.7546706524178532,1.0935341080711216,regressao_linear,Regressão Linear,dataset_dummy,Dummy,AGRO3,regressao,,,,,,,,,
30 dias,1.161588070774535,0.929983122065462,1.1615931033480975,0.9362444734049852,1.0955137973124696,1.535882032066587,regressao_linear,Regressão Linear,dataset_dummy,Dummy,AGRO3,regressao,,,,,,,,,
3 dias,0.3665433998207316,0.9909513511868598,0.3665660286722281,0.9903296287272718,0.3654086733216783,0.5287643898193211,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SLCE3,regressao,,,,,,,,,
7 dias,0.5632236694697454,0.9797634551449552,0.5632248885336603,0.9820404495392204,0.5334758934421646,0.7188046671152681,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SLCE3,regressao,,,,,,,,,
15 dias,0.7932255040510264,0.9605803513467166,0.7932497613989468,0.969310496724926,0.6951092327759179,0.9350637472233384,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SLCE3,regressao,,,,,,,,,
30 dias,1.090006828584095,0.929843430866396,1.0900579790611633,0.9439020670843196,0.9901992936620876,1.2533965966788423,regressao_linear,Regressão Linear,dataset_dummy,Dummy,SLCE3,regressao,,,,,,,,,
3 dias,0.3954845311637837,0.9911210701265678,0.3954681672694956,0.990640471656317,0.4124891716352604,0.5797778226698793,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,AGRO3,regressao,,,,,,,,,
7 dias,0.4720832739273982,0.9867312549675616,0.4720897529355136,0.9897935039214086,0.4311640618125593,0.6086059187043809,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,AGRO3,regressao,,,,,,,,,
15 dias,0.556878320046178,0.981064004352315,0.5568727249611073,0.9855542985388392,0.5096351151580703,0.7191050959581591,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,AGRO3,regressao,,,,,,,,,
30 dias,0.6599702376867544,0.969285324779047,0.6599833655489987,0.9744591842332472,0.6327832125552114,0.9661567016727984,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,AGRO3,regressao,,,,,,,,,
3 dias,0.3683730084415817,0.9903815443079323,0.3683758655040975,0.9906552886850708,0.3742306806833089,0.5137563033143051,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SLCE3,regressao,,,,,,,,,
7 dias,0.4170386813456503,0.9881062460237876,0.4170317757416251,0.990208643783094,0.3665539326579857,0.5239025911025933,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SLCE3,regressao,,,,,,,,,
15 dias,0.464631512604521,0.984198309217282,0.4646182120633278,0.988013887501914,0.4193988855150422,0.5746691511546308,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SLCE3,regressao,,,,,,,,,
30 dias,0.5274195097167311,0.980259679119411,0.5274206753097057,0.9805298573159577,0.5196875545539696,0.7247281277199241,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SLCE3,regressao,,,,,,,,,
3 dias,0.3738327312200301,0.9385193512163268,0.3738385178595104,0.9395987939564656,0.3727623209819931,0.4749960849112775,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SOJA3,regressao,,,,,,,,,
7 dias,0.4214068482497137,0.9176444218912908,0.4214096845530786,0.9321623373754312,0.3716256765597788,0.5077222115820941,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SOJA3,regressao,,,,,,,,,
15 dias,0.4044462777339412,0.9262056325617074,0.4044775576649478,0.9184416252216352,0.3927249393597734,0.5593770388270395,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SOJA3,regressao,,,,,,,,,
30 dias,0.3856230125638368,0.9379465888541764,0.3855895811087413,0.9332818530225682,0.4286844884841704,0.5262784697310476,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SOJA3,regressao,,,,,,,,,
3 dias,0.3567172524465211,0.992919777288204,0.3567076207481389,0.992502130405708,0.3704000943230169,0.5156604183347383,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,AGRO3,regressao,,,,,,,,,
7 dias,0.3847897607318921,0.9914691286552478,0.3847848565223936,0.9932061543266276,0.3551521036259464,0.4919929105587344,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,AGRO3,regressao,,,,,,,,,
15 dias,0.4104959994097608,0.9905551520624406,0.4104690589355823,0.993811734803844,0.3391518801900471,0.4681961747133631,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,AGRO3,regressao,,,,,,,,,
30 dias,0.4231595714843796,0.9887291812343998,0.4231454015882533,0.991386835522712,0.39108488154951,0.5503721214333414,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,AGRO3,regressao,,,,,,,,,
3 dias,0.3434333902177868,0.9915264660574274,0.3434289367788367,0.9935597650462132,0.3088983521973338,0.4253407977060696,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SLCE3,regressao,,,,,,,,,
7 dias,0.345302242495362,0.9918184518812184,0.3452913186770399,0.9936980519611992,0.3119578235345408,0.4211284655107282,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SLCE3,regressao,,,,,,,,,
15 dias,0.3662177323767882,0.9908186582311856,0.3662027599277006,0.9930619493392626,0.3213099957906193,0.43635648752168,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SLCE3,regressao,,,,,,,,,
30 dias,0.3775776265884245,0.9896022587518668,0.3775772397304045,0.9920887331454136,0.3591578577204251,0.4654192407673924,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SLCE3,regressao,,,,,,,,,
3 dias,0.3585810388989983,0.945118664466768,0.3587055600186073,0.9600155413382347,0.2879472938626576,0.3732062525952738,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SOJA3,regressao,,,,,,,,,
7 dias,0.3444766867856833,0.9509466345619626,0.3445020123444157,0.9457459577296244,0.3227861554226303,0.436101452652525,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SOJA3,regressao,,,,,,,,,
15 dias,0.3658471895710672,0.9404611033260892,0.3658180720515344,0.9209818801645994,0.397301606662191,0.5485827952957754,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SOJA3,regressao,,,,,,,,,
30 dias,0.338745137694712,0.9509903013313162,0.3387200820692621,0.9626770065565748,0.3226692358798961,0.4002276106066059,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SOJA3,regressao,,,,,,,,,
3 dias,0.3807835307652709,0.9918718983535664,0.3807848385991103,0.9935863764371728,0.3419509072144246,0.4816479060228668,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,AGRO3,regressao,,,,,,,,,
7 dias,0.4519251259185626,0.9887379936503394,0.4519258559465045,0.9911258344569602,0.3964611396956259,0.5643412941245832,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,AGRO3,regressao,,,,,,,,,
15 dias,0.5247938711016964,0.9827661726176176,0.5248016584517228,0.9874202374145008,0.4508855030110906,0.6702645273014346,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,AGRO3,regressao,,,,,,,,,
30 dias,0.6619074801916002,0.9667409457875036,0.6619502270973221,0.969436237080464,0.6763579964113029,1.0634139477683464,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,AGRO3,regressao,,,,,,,,,
3 dias,0.3618772457099249,0.9912071192467524,0.3618971919886529,0.99306311016442,0.3334530280647373,0.4478401474707811,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SLCE3,regressao,,,,,,,,,
7 dias,0.4136189059980975,0.987629783204372,0.4136171711103905,0.9929081481603051,0.3242347456343243,0.4516926090234701,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SLCE3,regressao,,,,,,,,,
15 dias,0.5160984966317113,0.9816897003921196,0.5161179879671431,0.9879279628332868,0.416576846836927,0.5864575367056248,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SLCE3,regressao,,,,,,,,,
30 dias,0.5333342780133521,0.977614369000086,0.5333834238882377,0.9859675008573122,0.4611861083450918,0.6268773723850491,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SLCE3,regressao,,,,,,,,,
3 dias,0.3891307416969451,0.9348891111558976,0.3891760472487071,0.9528666081319288,0.320964086414244,0.4070083787467306,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SOJA3,regressao,,,,,,,,,
7 dias,0.4519808943021764,0.911563323882948,0.4520557371793689,0.9330306606449366,0.3878724333924779,0.4920587885930235,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SOJA3,regressao,,,,,,,,,
15 dias,0.4789982172832149,0.8972942573153414,0.4790460581270006,0.8913475416273813,0.4836535590550101,0.6452861202353207,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SOJA3,regressao,,,,,,,,,
30 dias,0.490883929827466,0.886630038350137,0.4908809857714656,0.9460483991443708,0.3777649604513586,0.4871783204834625,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_base,Base,SOJA3,regressao,,,,,,,,,
3 dias,0.3825832625681445,0.9919429473973168,0.3825965116759042,0.9936715217995602,0.3386195761689817,0.4784401167311046,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,AGRO3,regressao,,,,,,,,,
7 dias,0.4290482994786974,0.9896566409849592,0.4290584101707161,0.9913915371205468,0.3896923275307605,0.5558285779472618,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,AGRO3,regressao,,,,,,,,,
15 dias,0.457788730725315,0.9883932806929848,0.4577899007985068,0.9872142737634104,0.4449180321957974,0.6757292428216247,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,AGRO3,regressao,,,,,,,,,
30 dias,0.5597800905436223,0.9763467504823292,0.5598506667173804,0.980279745396594,0.5141802207635231,0.8541914104935084,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,AGRO3,regressao,,,,,,,,,
3 dias,0.3512544898848596,0.9914204662288874,0.3512728235981036,0.9942181415655986,0.3026604748635657,0.4088597439881263,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SLCE3,regressao,,,,,,,,,
7 dias,0.4017669755460479,0.9891417757520652,0.4017712877530132,0.9910999996707472,0.351801706813193,0.50600891535561,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SLCE3,regressao,,,,,,,,,
15 dias,0.4578734762495972,0.9850962148994922,0.4578803659664752,0.9865524238126814,0.4460583023835519,0.6189681420289183,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SLCE3,regressao,,,,,,,,,
30 dias,0.4712175996682409,0.9834816510317742,0.4712298314482697,0.9894315040939038,0.3929598364579704,0.5440285273644008,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SLCE3,regressao,,,,,,,,,
3 dias,0.3924926207653344,0.9336671753281434,0.3925098992775045,0.947707496667726,0.3285333108387962,0.4287051681887168,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SOJA3,regressao,,,,,,,,,
7 dias,0.4538764064514407,0.9010193312622568,0.4539608027098304,0.9250514675893594,0.3960702395151586,0.520547724485148,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SOJA3,regressao,,,,,,,,,
15 dias,0.4852948722392477,0.8826499156357299,0.4853642987404151,0.8916585352617212,0.4876285382598293,0.6443619640539926,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SOJA3,regressao,,,,,,,,,
30 dias,0.4615417853150757,0.9024496200479086,0.4615717720740206,0.9460944258424834,0.3741099208396805,0.4869704675788193,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_dummy,Dummy,SOJA3,regressao,,,,,,,,,
