horizonte_dias,modelo,cv_f1,threshold,oof_f1,test_accuracy,test_f1_weighted,test_f1_alta,test_auc
3,Regressao Logistica,0.5877,0.3752,0.6698,0.5095,0.3639,0.6667,0.5624
7,Regressao Logistica,0.628,0.362,0.6913,0.5402,0.4068,0.6914,0.6165
15,Regressao Logistica,0.6525,0.3736,0.7075,0.5966,0.5298,0.7094,0.6639
30,Regressao Logistica,0.7011,0.3291,0.7309,0.6388,0.5881,0.7289,0.7305
3,Random Forest,0.6748,0.3651,0.7089,0.6178,0.5899,0.6937,0.7156
7,Random Forest,0.7826,0.4459,0.7965,0.759,0.7542,0.7907,0.8504
15,Random Forest,0.8488,0.464,0.8533,0.8312,0.8301,0.8458,0.9254
30,Random Forest,0.8808,0.4752,0.8846,0.89,0.8899,0.8972,0.9567
3,XGBoost,0.6708,0.2708,0.6993,0.6054,0.5682,0.6865,0.6838
7,XGBoost,0.7737,0.3728,0.787,0.7473,0.7403,0.7821,0.8347
15,XGBoost,0.841,0.3668,0.849,0.8308,0.8289,0.8485,0.9158
30,XGBoost,0.8772,0.487,0.8823,0.8863,0.8863,0.8936,0.9548
3,Rede Neural (Classificacao),0.6634,0.5766,0.6668,0.4881,0.3706,0.3225,0.4675
7,Rede Neural (Classificacao),0.6866,0.5901,0.6881,0.4946,0.3636,0.3028,0.4882
15,Rede Neural (Classificacao),0.7181,0.4199,0.7416,0.6696,0.6515,0.7242,0.7601
30,Rede Neural (Classificacao),0.7993,0.4256,0.8092,0.792,0.7892,0.8158,0.8884
