horizonte_dias,modelo,cv_f1_mean,cv_f1_median,cv_f1_std,cv_f1_coefvar,threshold_mean,threshold_median,threshold_std,threshold_coefvar,oof_f1_mean,oof_f1_median,oof_f1_std,oof_f1_coefvar,test_accuracy_mean,test_accuracy_median,test_accuracy_std,test_accuracy_coefvar,test_f1_weighted_mean,test_f1_weighted_median,test_f1_weighted_std,test_f1_weighted_coefvar,test_f1_alta_mean,test_f1_alta_median,test_f1_alta_std,test_f1_alta_coefvar,test_auc_mean,test_auc_median,test_auc_std,test_auc_coefvar
3,Regressao Logistica,0.5877,0.5909,0.0196,0.0333,0.3752,0.376,0.0556,0.1483,0.6698,0.6761,0.0157,0.0235,0.5095,0.516,0.0183,0.036,0.3639,0.3554,0.0288,0.0791,0.6667,0.6755,0.0219,0.0328,0.5624,0.5643,0.0285,0.0507
7,Regressao Logistica,0.628,0.6407,0.0475,0.0756,0.362,0.3604,0.0769,0.2125,0.6913,0.6985,0.021,0.0304,0.5402,0.5446,0.0219,0.0406,0.4068,0.399,0.0403,0.0991,0.6914,0.6967,0.0168,0.0243,0.6165,0.6348,0.0357,0.0579
15,Regressao Logistica,0.6525,0.6732,0.0461,0.0707,0.3736,0.3657,0.0295,0.0788,0.7075,0.7108,0.0287,0.0406,0.5966,0.5994,0.0249,0.0418,0.5298,0.5261,0.0382,0.072,0.7094,0.7229,0.0283,0.0399,0.6639,0.6717,0.0311,0.0469
30,Regressao Logistica,0.7011,0.7114,0.0388,0.0553,0.3291,0.3134,0.0651,0.1977,0.7309,0.7363,0.0349,0.0478,0.6388,0.6398,0.0411,0.0643,0.5881,0.5897,0.0724,0.1231,0.7289,0.7418,0.0385,0.0528,0.7305,0.738,0.0509,0.0697
3,Random Forest,0.6748,0.6772,0.0164,0.0244,0.3651,0.3692,0.0293,0.0802,0.7089,0.7126,0.0137,0.0193,0.6178,0.6254,0.0449,0.0727,0.5899,0.5973,0.0571,0.0968,0.6937,0.7014,0.0333,0.0481,0.7156,0.7105,0.041,0.0573
7,Random Forest,0.7826,0.7779,0.0221,0.0282,0.4459,0.4367,0.0273,0.0611,0.7965,0.7908,0.0169,0.0213,0.759,0.781,0.0409,0.0539,0.7542,0.7749,0.042,0.0557,0.7907,0.8081,0.0386,0.0488,0.8504,0.8659,0.0399,0.0469
15,Random Forest,0.8488,0.8477,0.0234,0.0276,0.464,0.4627,0.0258,0.0557,0.8533,0.8521,0.022,0.0258,0.8312,0.8308,0.0219,0.0263,0.8301,0.8305,0.0223,0.0268,0.8458,0.8507,0.0264,0.0312,0.9254,0.9247,0.009,0.0097
30,Random Forest,0.8808,0.8857,0.0182,0.0206,0.4752,0.4814,0.0303,0.0638,0.8846,0.8884,0.0156,0.0176,0.89,0.8892,0.0156,0.0176,0.8899,0.8892,0.0157,0.0176,0.8972,0.8938,0.0182,0.0203,0.9567,0.9584,0.0146,0.0153
3,XGBoost,0.6708,0.6742,0.0179,0.0267,0.2708,0.2472,0.1504,0.5553,0.6993,0.6964,0.0095,0.0136,0.6054,0.6056,0.0554,0.0916,0.5682,0.574,0.08,0.1409,0.6865,0.6836,0.0276,0.0402,0.6838,0.7225,0.0839,0.1227
7,XGBoost,0.7737,0.7758,0.0268,0.0347,0.3728,0.3964,0.0928,0.2488,0.787,0.7823,0.0229,0.0292,0.7473,0.7701,0.0548,0.0733,0.7403,0.7641,0.0614,0.0829,0.7821,0.8015,0.0454,0.058,0.8347,0.8571,0.0488,0.0585
15,XGBoost,0.841,0.8424,0.0205,0.0244,0.3668,0.3507,0.0481,0.1312,0.849,0.8503,0.0177,0.0209,0.8308,0.8251,0.0166,0.02,0.8289,0.8233,0.018,0.0217,0.8485,0.8487,0.0116,0.0137,0.9158,0.9126,0.0117,0.0127
30,XGBoost,0.8772,0.8815,0.0224,0.0255,0.487,0.4779,0.0846,0.1736,0.8823,0.8856,0.0203,0.023,0.8863,0.8852,0.019,0.0215,0.8863,0.8851,0.019,0.0214,0.8936,0.8891,0.0191,0.0214,0.9548,0.9556,0.0152,0.0159
3,Rede Neural (Classificacao),0.6634,0.6715,0.0224,0.0338,0.5766,0.596,0.1044,0.1811,0.6668,0.6721,0.0185,0.0277,0.4881,0.4864,0.0374,0.0766,0.3706,0.3555,0.0668,0.1802,0.3225,0.2467,0.2899,0.8991,0.4675,0.4739,0.0427,0.0914
7,Rede Neural (Classificacao),0.6866,0.692,0.0197,0.0287,0.5901,0.596,0.0594,0.1007,0.6881,0.6927,0.0202,0.0294,0.4946,0.5,0.0513,0.1037,0.3636,0.3416,0.0839,0.2306,0.3028,0.125,0.3378,1.1155,0.4882,0.4629,0.0829,0.1698
15,Rede Neural (Classificacao),0.7181,0.7227,0.0399,0.0556,0.4199,0.4395,0.0845,0.2013,0.7416,0.7454,0.0315,0.0425,0.6696,0.695,0.0833,0.1244,0.6515,0.673,0.0943,0.1448,0.7242,0.7551,0.0841,0.1162,0.7601,0.7678,0.0868,0.1142
30,Rede Neural (Classificacao),0.7993,0.7985,0.0262,0.0327,0.4256,0.4324,0.0444,0.1043,0.8092,0.8032,0.0241,0.0298,0.792,0.7897,0.0417,0.0526,0.7892,0.7871,0.0435,0.0551,0.8158,0.8206,0.0409,0.0501,0.8884,0.891,0.039,0.0439
