modelo,horizonte_dias,threshold_mean,threshold_std,threshold_min,threshold_max
Random Forest,3,0.3651,0.0293,0.3204,0.4117
Random Forest,7,0.4459,0.0273,0.4166,0.507
Random Forest,15,0.464,0.0258,0.4244,0.4952
Random Forest,30,0.4752,0.0303,0.4112,0.5042
Rede Neural (Classificacao),3,0.5766,0.1044,0.2827,0.6715
Rede Neural (Classificacao),7,0.5901,0.0594,0.5168,0.6715
Rede Neural (Classificacao),15,0.4199,0.0845,0.2172,0.5388
Rede Neural (Classificacao),30,0.4256,0.0444,0.3157,0.4866
Regressao Logistica,3,0.3752,0.0556,0.2848,0.4499
Regressao Logistica,7,0.362,0.0769,0.2348,0.4725
Regressao Logistica,15,0.3736,0.0295,0.3348,0.4371
Regressao Logistica,30,0.3291,0.0651,0.2491,0.4684
XGBoost,3,0.2708,0.1504,0.0789,0.4723
XGBoost,7,0.3728,0.0928,0.1614,0.5121
XGBoost,15,0.3668,0.0481,0.3161,0.4548
XGBoost,30,0.487,0.0846,0.3238,0.5908
