modelo_nome,Teste_Accuracy_mean,Teste_Accuracy_median,Teste_Accuracy_std,Teste_Accuracy_coefvar,Teste_Precision_mean,Teste_Precision_median,Teste_Precision_std,Teste_Precision_coefvar,Teste_Recall_mean,Teste_Recall_median,Teste_Recall_std,Teste_Recall_coefvar,Teste_F1_Weighted_mean,Teste_F1_Weighted_median,Teste_F1_Weighted_std,Teste_F1_Weighted_coefvar,Teste_F1_Classe_Alta_mean,Teste_F1_Classe_Alta_median,Teste_F1_Classe_Alta_std,Teste_F1_Classe_Alta_coefvar,Teste_AUC_ROC_mean,Teste_AUC_ROC_median,Teste_AUC_ROC_std,Teste_AUC_ROC_coefvar,CV_F1_Best_mean,CV_F1_Best_median,CV_F1_Best_std,CV_F1_Best_coefvar,OOF_F1_Threshold_mean,OOF_F1_Threshold_median,OOF_F1_Threshold_std,OOF_F1_Threshold_coefvar,Horizonte
Random Forest,0.6177562838829999,0.6253776435045317,0.04491709624771318,0.07271005964582024,0.6602164463890975,0.6641553550690369,0.04226433792244455,0.06401588169092069,0.6177562838829999,0.6253776435045317,0.04491709624771318,0.07271005964582024,0.5898857034765995,0.5973215578356195,0.057105985053250104,0.09680855921187022,0.6937299910029354,0.7014103487534562,0.03334234259019898,0.048062420570855635,0.7156426356881477,0.7104838726872174,0.04100248736078359,0.0572946402520532,0.6748161935534557,0.6772488402149945,0.016448551436592372,0.024374861767879903,0.7089312223614656,0.7126091982411591,0.01371097887742764,0.019340351285073984,3 dias
Rede Neural (Classificação),0.4881280813787014,0.48640483383685795,0.03739258788114866,0.07660404985415825,,,,,,,,,0.37061307656066683,0.35550161959094373,0.06680071943907855,0.18024382749523335,0.3224685713848205,0.2466739071409177,0.2899228484984772,0.8990731941826834,0.4674934190272513,0.47388942204586915,0.04272774632541486,0.09139753542268401,0.6633597978737896,0.6715336023872567,0.022423074031685145,0.03380228060783289,0.6668072207584572,0.6720974672645423,0.01848931861411296,0.027728131967560816,3 dias
Regressão Logística,0.5094824373650552,0.5159716430358632,0.018333959496111198,0.03598545926515328,,,,,,,,,0.3638566314462805,0.355378304192969,0.028767108634155568,0.07906165821359427,0.6667357057601787,0.6754764136207436,0.021851928381385426,0.03277449848957909,0.562405501132446,0.5642780461621041,0.028529880522193945,0.05072830984893795,0.5877480369175582,0.5908862783316464,0.01960123537437066,0.03334972495555961,0.6697738030248539,0.6761277941414032,0.01572246543840184,0.02347429142106714,3 dias
XGBoost,0.6053712091066034,0.6055830117178631,0.055429193378326254,0.09156232167057915,,,,,,,,,0.5682227660932307,0.574049536193499,0.08004405805590815,0.14086739010167534,0.6865221419180502,0.6835595137121855,0.027613134693937866,0.04022176854600858,0.6837750043307907,0.7224972808739591,0.08392394163638364,0.12273619407676337,0.6707524377992216,0.6741649828613056,0.017915608485615752,0.026709718036058018,0.6993340669773186,0.6964366652795311,0.009530786161673346,0.013628373922734208,3 dias
Random Forest,0.7589717713829924,0.7809667673716012,0.04087970864976397,0.05386196192155248,0.7725537453848038,0.7922909137329474,0.03819075995336962,0.04943443764465481,0.7589717713829924,0.7809667673716012,0.04087970864976397,0.05386196192155248,0.7542091290526999,0.7748898037110069,0.04203732621534685,0.05573696286087983,0.7907415357041717,0.8080768218889767,0.038583745936401195,0.048794383745178596,0.8504346459266375,0.8658563535911603,0.03985364294576952,0.04686267561729544,0.7826417112899078,0.777949077293917,0.02209896145185615,0.02823637065731372,0.7964959799881575,0.7908380400778457,0.016947394312231714,0.021277438603624455,7 dias
Rede Neural (Classificação),0.4945552362472838,0.5,0.05130049356209642,0.10373056395351869,,,,,,,,,0.3636348868074341,0.34162683476155,0.08385104323211166,0.23059130538406147,0.3027860979603972,0.125,0.33775858067627457,1.1155022735569966,0.48819730094410246,0.4628932190650763,0.08289837652691251,0.16980506931644054,0.6866349780584723,0.6919630709372513,0.01967473639142389,0.02865385105643196,0.6880696695033635,0.6927263730821794,0.0202003074038634,0.029357939027371497,7 dias
Regressão Logística,0.5401797078716118,0.544626018493088,0.02194997036221362,0.04063457038899102,,,,,,,,,0.4067692799512382,0.3990246048936993,0.04030764522698734,0.09909215669339448,0.6913953557630039,0.6967057805338139,0.016791083101608636,0.02428579099013253,0.6164673998750368,0.6348334602485741,0.035665449611451794,0.057854559087279364,0.6279781914126409,0.640701373150436,0.04746149638757961,0.07557825580027656,0.691324403132021,0.6985156207316885,0.02099048298889187,0.030362710897800252,7 dias
XGBoost,0.7472915875105633,0.7700540144648906,0.05480513657468102,0.07333835612582261,,,,,,,,,0.7403337494808172,0.7641032164012429,0.061368805342976264,0.08289343203117933,0.7820804398103897,0.8014999261120141,0.04537387746816564,0.058016893350722645,0.8346978743124337,0.8570752635946006,0.04881769559555157,0.05848546773377637,0.7736620796702786,0.775751190711814,0.026823990114801383,0.034671455173598924,0.7869683051863272,0.782337566206403,0.02294714532585697,0.029158919329570546,7 dias
Random Forest,0.8311873422532269,0.8307961269499731,0.021881419649327483,0.026325496716552692,0.8357994536089052,0.8337867830175523,0.01872954302082064,0.022409135277545584,0.8311873422532269,0.8307961269499731,0.021881419649327483,0.026325496716552692,0.8300797157794184,0.8305299277702045,0.02225859833039533,0.026815012952696015,0.8458298496718251,0.850728171689547,0.02642182194953369,0.031237750665556598,0.9254464469438286,0.9246850710265343,0.008973479071490159,0.009696378543700668,0.8488449302772408,0.8477366425041102,0.023408901743021834,0.027577359430510193,0.8532818198404152,0.8521077745206014,0.022031725078301662,0.0258199865109304,15 dias
Rede Neural (Classificação),0.6696087984046221,0.6949713080319634,0.08327437416205723,0.12436272396728175,,,,,,,,,0.6514769404782993,0.6730255123744364,0.09431173179235448,0.14476603227600504,0.7241747692295393,0.7550625920471281,0.08411991542629256,0.11615968824181631,0.7601379423539064,0.7678193860127267,0.0868149516656654,0.11420947018751228,0.7180941955815753,0.7227279737626335,0.039939176150539095,0.05561829687008244,0.7416275300632201,0.7454044718899235,0.031486884987487536,0.042456467311567346,15 dias
