modelo_nome,Teste_Accuracy,Teste_Precision,Teste_Recall,Teste_F1_Weighted,Teste_F1_Classe_Alta,Teste_AUC_ROC,CV_F1_Best,OOF_F1_Threshold,Horizonte
Random Forest,0.6177562838829997,0.6602164463890975,0.6177562838829997,0.5898857034765994,0.6937299910029354,0.7156426356881477,0.6748161935534557,0.7089312223614656,3 dias
Rede Neural (Classificação),0.4881280813787013,,,0.37061307656066683,0.3224685713848205,0.46749341902725133,0.6633597978737897,0.6668072207584572,3 dias
Regressão Logística,0.5094824373650553,,,0.3638566314462805,0.6667357057601788,0.562405501132446,0.5877480369175581,0.6697738030248539,3 dias
XGBoost,0.6053712091066032,,,0.5682227660932307,0.6865221419180502,0.6837750043307907,0.6707524377992216,0.6993340669773186,3 dias
Random Forest,0.7589717713829924,0.7725537453848036,0.7589717713829924,0.7542091290526999,0.7907415357041718,0.8504346459266374,0.7826417112899078,0.7964959799881575,7 dias
Rede Neural (Classificação),0.49455523624728387,,,0.363634886807434,0.3027860979603972,0.48819730094410235,0.6866349780584723,0.6880696695033635,7 dias
Regressão Logística,0.5401797078716118,,,0.4067692799512382,0.691395355763004,0.6164673998750368,0.6279781914126409,0.691324403132021,7 dias
XGBoost,0.7472915875105635,,,0.7403337494808172,0.7820804398103897,0.8346978743124338,0.7736620796702787,0.7869683051863272,7 dias
Random Forest,0.8311873422532269,0.8357994536089052,0.8311873422532269,0.8300797157794184,0.8458298496718251,0.9254464469438286,0.8488449302772408,0.8532818198404154,15 dias
Rede Neural (Classificação),0.6696087984046222,,,0.6514769404782993,0.7241747692295393,0.7601379423539063,0.7180941955815755,0.7416275300632201,15 dias
Regressão Logística,0.5966175510759404,,,0.5297746283500894,0.7093648653787623,0.6638577783987659,0.6524588896619178,0.70750930068367,15 dias
XGBoost,0.8307570625113857,,,0.8289131800276329,0.8484570896152785,0.9158314486730771,0.8409972693322701,0.8490172520007081,15 dias
Random Forest,0.8900445401009174,0.8923031013722044,0.8900445401009174,0.8899201622553495,0.8972100894270117,0.9566758362359136,0.8808202594477796,0.8846150332200936,30 dias
Rede Neural (Classificação),0.792024700056282,,,0.7891550700702511,0.8157749739684572,0.8884445151513933,0.7992634720654697,0.8092058226101759,30 dias
Regressão Logística,0.638809257171472,,,0.5880841059636551,0.7289299282366785,0.7305202482044256,0.7010632528594273,0.7309460612370803,30 dias
XGBoost,0.8862992284643015,,,0.886275503936112,0.8935690998938465,0.9547523498389867,0.8772292129864928,0.8823434167193054,30 dias
