Date,Close,High,Low,Open,Volume,agro_soja_close_lag_1d,agro_soja_close_lag_3d,agro_soja_close_lag_6d,agro_soja_close_lag_10d,agro_cambio_close_lag_1d,agro_cambio_close_lag_3d,agro_cambio_close_lag_6d,agro_cambio_close_lag_10d,Close_3d_fut,Close_7d_fut,Close_15d_fut,Close_30d_fut,Open_lag2d,Open_lag4d,Open_lag6d,High_lag2d,High_lag4d,High_lag6d,Low_lag2d,Low_lag4d,Low_lag6d,Close_lag2d,Close_lag4d,Close_lag6d
2018-01-25,7.459958553314209,7.459958553314209,7.459958553314209,7.459958553314209,0,992.25,984.25,968.75,947.0,3.2355,3.1947,3.2227,3.2264,7.454349517822266,7.459958553314209,7.594574451446533,7.459958553314209,7.3814333764238365,7.51044023819712,7.448740041459306,7.3814333764238365,7.572138955636559,7.52165699005127,7.229990870784676,7.370215442722369,7.448740041459306,7.35338830947876,7.482395172119141,7.521656990051269
2018-01-26,7.516048908233643,7.56092080049834,7.476786136230821,7.504831202625044,40200,992.25,986.25,973.0,940.5,3.1451,3.2007,3.2222,3.2142,7.516048908233643,7.398259162902832,7.656272888183594,7.454349517822266,7.31412465079578,7.459958154691977,7.521656622579217,7.499221321332596,7.459958154691977,7.572137625670092,7.31412465079578,7.381432087936142,7.426303735610908,7.459958553314209,7.415086269378662,7.510438919067383
2018-01-29,7.465567588806152,7.510439476011102,7.409477462342418,7.510439476011102,12100,985.5,992.25,977.25,944.0,3.1469,3.2355,3.2051,3.2007,7.560919761657715,7.57213830947876,7.740408897399902,7.403867244720459,7.459958553314209,7.3814333764238365,7.51044023819712,7.459958553314209,7.3814333764238365,7.572138955636559,7.459958553314209,7.229990870784676,7.370215442722369,7.459958553314209,7.35338830947876,7.482395172119141
2018-01-30,7.454349517822266,7.493612286284144,7.358996621630471,7.493612286284144,29000,991.5,992.25,984.25,968.0,3.151,3.1451,3.1947,3.2132,7.566530227661133,7.57213830947876,7.706754207611084,7.375823497772217,7.504831202625044,7.31412465079578,7.459958154691977,7.56092080049834,7.499221321332596,7.459958154691977,7.476786136230821,7.31412465079578,7.381432087936142,7.516048908233643,7.459958553314209,7.415086269378662
2018-01-31,7.516048908233643,7.516048908233643,7.375824111177678,7.4319142439661245,59500,1000.25,985.5,986.25,968.75,3.1536,3.1469,3.2007,3.2227,7.459958553314209,7.544092655181885,7.684317588806152,7.3365607261657715,7.510439476011102,7.459958553314209,7.3814333764238365,7.510439476011102,7.459958553314209,7.3814333764238365,7.409477462342418,7.459958553314209,7.229990870784676,7.465567588806152,7.459958553314209,7.35338830947876
2018-02-01,7.560919761657715,7.740407840970695,7.4543491659002274,7.504830171490908,72900,995.75,991.5,992.25,973.0,3.1795,3.151,3.2355,3.2222,7.398259162902832,7.566530227661133,7.628228187561035,7.291688442230225,7.493612286284144,7.504831202625044,7.31412465079578,7.493612286284144,7.56092080049834,7.499221321332596,7.358996621630471,7.476786136230821,7.31412465079578,7.454349517822266,7.516048908233643,7.459958553314209
2018-02-02,7.566530227661133,7.628229483213995,7.381433530832889,7.56092110717175,60600,985.0,1000.25,992.25,977.25,3.1847,3.1536,3.1451,3.2051,7.57213830947876,7.611401081085205,7.684317588806152,7.280470371246338,7.4319142439661245,7.510439476011102,7.459958553314209,7.516048908233643,7.510439476011102,7.459958553314209,7.375824111177678,7.409477462342418,7.459958553314209,7.516048908233643,7.465567588806152,7.459958553314209
2018-02-05,7.459958553314209,7.476785377477075,7.381432482362341,7.403868426217861,37300,978.75,995.75,985.5,984.25,3.1637,3.1795,3.1469,3.1947,7.57213830947876,7.57213830947876,7.678707599639893,7.291688442230225,7.504830171490908,7.493612286284144,7.504831202625044,7.740407840970695,7.493612286284144,7.56092080049834,7.4543491659002274,7.358996621630471,7.476786136230821,7.560919761657715,7.454349517822266,7.516048908233643
2018-02-06,7.398259162902832,7.47117611274651,7.106591898443207,7.319733628390475,46100,969.75,985.0,991.5,986.25,3.2154,3.1847,3.151,3.2007,7.544092655181885,7.594574451446533,7.57213830947876,7.269253253936768,7.56092110717175,7.4319142439661245,7.510439476011102,7.628229483213995,7.516048908233643,7.510439476011102,7.381433530832889,7.375824111177678,7.409477462342418,7.566530227661133,7.516048908233643,7.465567588806152
2018-02-07,7.57213830947876,7.57213830947876,7.4263044062499155,7.504830477584315,66200,986.25,978.75,1000.25,992.25,3.2611,3.1637,3.1536,3.2355,7.566530227661133,7.656272888183594,7.628228187561035,7.235598087310791,7.403868426217861,7.504830171490908,7.493612286284144,7.476785377477075,7.740407840970695,7.493612286284144,7.381432482362341,7.4543491659002274,7.358996621630471,7.459958553314209,7.560919761657715,7.454349517822266
