data,close,high,low,open,close_lag_1d,close_lag_3d,close_lag_6d,close_lag_10d
2018-01-15,3.2007,3.2056,3.1761,3.2024,3.2142,3.2468,3.2331,3.3076
2018-01-16,3.2132,3.2358,3.205,3.2132,3.2007,3.2264,3.2266,3.311
2018-01-17,3.2227,3.2374,3.2179,3.2228,3.2132,3.2142,3.239,3.2578
2018-01-18,3.2222,3.2233,3.2013,3.2224,3.2227,3.2007,3.2468,3.2355
2018-01-19,3.2051,3.2127,3.2011,3.2048,3.2222,3.2132,3.2264,3.2331
2018-01-22,3.1947,3.2063,3.1828,3.1938,3.2051,3.2227,3.2142,3.2266
2018-01-23,3.2007,3.2364,3.1986,3.2007,3.1947,3.2222,3.2007,3.239
2018-01-24,3.2355,3.2382,3.1757,3.2337,3.2007,3.2051,3.2132,3.2468
2018-01-25,3.1451,3.1484,3.1215,3.1451,3.2355,3.1947,3.2227,3.2264
2018-01-26,3.1469,3.1543,3.1312,3.1454,3.1451,3.2007,3.2222,3.2142
2018-01-29,3.151,3.1704,3.1449,3.1526,3.1469,3.2355,3.2051,3.2007
2018-01-30,3.1536,3.1937,3.1456,3.1538,3.151,3.1451,3.1947,3.2132
2018-01-31,3.1795,3.1831,3.1438,3.1796,3.1536,3.1469,3.2007,3.2227
2018-02-01,3.1847,3.1938,3.1615,3.1844,3.1795,3.151,3.2355,3.2222
2018-02-02,3.1637,3.2206,3.1619,3.1637,3.1847,3.1536,3.1451,3.2051
2018-02-05,3.2154,3.2455,3.2138,3.2169,3.1637,3.1795,3.1469,3.1947
2018-02-06,3.2611,3.2759,3.2175,3.2611,3.2154,3.1847,3.151,3.2007
2018-02-07,3.2334,3.263,3.2314,3.2333,3.2611,3.1637,3.1536,3.2355
2018-02-08,3.2699,3.2926,3.2562,3.2696,3.2334,3.2154,3.1795,3.1451
2018-02-09,3.2846,3.3075,3.2708,3.2844,3.2699,3.2611,3.1847,3.1469
2018-02-12,3.2908,3.2949,3.2635,3.2925,3.2846,3.2334,3.1637,3.151
2018-02-13,3.294,3.2947,3.2918,3.2939,3.2908,3.2699,3.2154,3.1536
2018-02-14,3.2942,3.2987,3.2509,3.2944,3.294,3.2846,3.2611,3.1795
2018-02-15,3.2162,3.2349,3.1916,3.2141,3.2942,3.2908,3.2334,3.1847
2018-02-16,3.2264,3.2461,3.2166,3.2265,3.2162,3.294,3.2699,3.1637
2018-02-19,3.2282,3.2362,3.2215,3.2298,3.2264,3.2942,3.2846,3.2154
2018-02-20,3.2331,3.2554,3.2314,3.2332,3.2282,3.2162,3.2908,3.2611
2018-02-21,3.2543,3.2602,3.2304,3.2542,3.2331,3.2264,3.294,3.2334
2018-02-22,3.2676,3.2708,3.2487,3.2674,3.2543,3.2282,3.2942,3.2699
2018-02-23,3.2487,3.2494,3.2309,3.2489,3.2676,3.2331,3.2162,3.2846
2018-02-26,3.2372,3.2434,3.2255,3.2385,3.2487,3.2543,3.2264,3.2908
2018-02-27,3.2225,3.253,3.2205,3.2225,3.2372,3.2676,3.2282,3.294
2018-02-28,3.2485,3.253,3.2233,3.25,3.2225,3.2487,3.2331,3.2942
2018-03-01,3.2448,3.2692,3.2362,3.2447,3.2485,3.2372,3.2543,3.2162
2018-03-02,3.25,3.2651,3.248,3.2482,3.2448,3.2225,3.2676,3.2264
2018-03-05,3.2496,3.2623,3.2494,3.2505,3.25,3.2485,3.2487,3.2282
2018-03-06,3.241,3.2428,3.2163,3.241,3.2496,3.2448,3.2372,3.2331
2018-03-07,3.208,3.2395,3.2061,3.2064,3.241,3.25,3.2225,3.2543
2018-03-08,3.2429,3.2652,3.2087,3.2413,3.208,3.2496,3.2485,3.2676
2018-03-09,3.2661,3.2674,3.2388,3.2661,3.2429,3.241,3.2448,3.2487
2018-03-12,3.2561,3.2638,3.2498,3.2561,3.2661,3.208,3.25,3.2372
2018-03-13,3.2603,3.2644,3.2386,3.2601,3.2561,3.2429,3.2496,3.2225
2018-03-14,3.2587,3.2652,3.2357,3.2586,3.2603,3.2661,3.241,3.2485
2018-03-15,3.2585,3.293,3.2566,3.2586,3.2587,3.2561,3.208,3.2448
2018-03-16,3.2821,3.2972,3.2811,3.2822,3.2585,3.2603,3.2429,3.25
2018-03-19,3.2801,3.2949,3.2753,3.2786,3.2821,3.2587,3.2661,3.2496
2018-03-20,3.2841,3.3035,3.2797,3.2842,3.2801,3.2585,3.2561,3.241
2018-03-21,3.3087,3.3118,3.2823,3.3104,3.2841,3.2821,3.2603,3.208
2018-03-22,3.2727,3.306,3.2673,3.2709,3.3087,3.2801,3.2587,3.2429
2018-03-23,3.3141,3.3148,3.2733,3.3142,3.2727,3.2841,3.2585,3.2661
2018-03-26,3.3145,3.3132,3.2897,3.3087,3.3141,3.3087,3.2821,3.2561
2018-03-27,3.3103,3.3307,3.308,3.3101,3.3145,3.2727,3.2801,3.2603
2018-03-28,3.3229,3.343,3.3197,3.3211,3.3103,3.3141,3.2841,3.2587
2018-03-29,3.3193,3.3275,3.3125,3.3193,3.3229,3.3145,3.3087,3.2585
2018-03-30,3.3035,3.3042,3.3015,3.3035,3.3193,3.3103,3.2727,3.2821
2018-04-02,3.302,3.3159,3.2964,3.3028,3.3035,3.3229,3.3141,3.2801
2018-04-03,3.3094,3.3219,3.2993,3.2993,3.302,3.3193,3.3145,3.2841
2018-04-04,3.3394,3.3665,3.3207,3.336,3.3094,3.3035,3.3103,3.3087
2018-04-05,3.3277,3.3321,3.2988,3.3201,3.3394,3.302,3.3229,3.2727
2018-04-06,3.3416,3.3772,3.3214,3.3398,3.3277,3.3094,3.3193,3.3141
2018-04-09,3.3675,3.3955,3.3603,3.369,3.3416,3.3394,3.3035,3.3145
2018-04-10,3.421,3.4344,3.3854,3.4175,3.3675,3.3277,3.302,3.3103
2018-04-11,3.4073,3.421,3.3908,3.4075,3.421,3.3416,3.3094,3.3229
2018-04-12,3.3731,3.3906,3.3644,3.3729,3.4073,3.3675,3.3394,3.3193
2018-04-13,3.411,3.4265,3.3851,3.4111,3.3731,3.421,3.3277,3.3035
2018-04-16,3.4243,3.4332,3.3897,3.3897,3.411,3.4073,3.3416,3.302
2018-04-17,3.4161,3.4184,3.3955,3.3999,3.4243,3.3731,3.3675,3.3094
2018-04-18,3.4058,3.4088,3.378,3.4039,3.4161,3.411,3.421,3.3394
2018-04-19,3.3771,3.4033,3.3606,3.379,3.4058,3.4243,3.4073,3.3277
2018-04-20,3.3827,3.4152,3.374,3.3856,3.3771,3.4161,3.3731,3.3416
2018-04-23,3.4137,3.447,3.4041,3.4138,3.3827,3.4058,3.411,3.3675
2018-04-24,3.4489,3.4783,3.4296,3.4507,3.4137,3.3771,3.4243,3.421
2018-04-25,3.4715,3.5135,3.4302,3.4717,3.4489,3.3827,3.4161,3.4073
2018-04-26,3.4809,3.5052,3.4603,3.4827,3.4715,3.4137,3.4058,3.3731
2018-04-27,3.4742,3.479,3.4593,3.4741,3.4809,3.4489,3.3771,3.411
2018-04-30,3.4581,3.4876,3.4538,3.4569,3.4742,3.4715,3.3827,3.4243
2018-05-01,3.5058,3.5059,3.5042,3.5042,3.4581,3.4809,3.4137,3.4161
2018-05-02,3.5061,3.5524,3.4862,3.504,3.5058,3.4742,3.4489,3.4058
2018-05-03,3.5496,3.5644,3.5094,3.5496,3.5061,3.4581,3.4715,3.3771
2018-05-04,3.5266,3.546,3.508,3.5268,3.5496,3.5058,3.4809,3.3827
2018-05-07,3.5255,3.5561,3.5107,3.5107,3.5266,3.5061,3.4742,3.4137
2018-05-08,3.5492,3.5914,3.5457,3.5457,3.5255,3.5496,3.4581,3.4489
2018-05-09,3.5619,3.5995,3.5523,3.5618,3.5492,3.5266,3.5058,3.4715
2018-05-10,3.5903,3.594,3.5467,3.59,3.5619,3.5255,3.5061,3.4809
2018-05-11,3.5495,3.5969,3.5435,3.5492,3.5903,3.5492,3.5496,3.4742
2018-05-14,3.6029,3.6248,3.5684,3.603,3.5495,3.5619,3.5266,3.4581
2018-05-15,3.6216,3.6903,3.6191,3.6192,3.6029,3.5903,3.5255,3.5058
2018-05-16,3.6487,3.686,3.63,3.648,3.6216,3.5495,3.5492,3.5061
2018-05-17,3.6744,3.7057,3.6568,3.6747,3.6487,3.6029,3.5619,3.5496
2018-05-18,3.6951,3.7656,3.6757,3.6953,3.6744,3.6216,3.5903,3.5266
