data,close,high,low,open,volume,close_lag_1d,close_lag_3d,close_lag_6d,close_lag_10d
2018-01-17,968.75,969.25,961.25,966.25,91701.0,968.0,940.5,958.25,955.0
2018-01-18,973.0,974.75,966.5,968.75,74574.0,968.75,944.0,955.75,959.75
2018-01-19,977.25,982.75,972.0,972.5,105770.0,973.0,968.0,947.0,959.25
2018-01-22,984.25,987.25,980.0,980.5,124262.0,977.25,968.75,940.5,961.5
2018-01-23,986.25,988.75,979.5,983.0,107959.0,984.25,973.0,944.0,958.25
2018-01-24,992.25,994.75,980.25,985.75,139169.0,986.25,977.25,968.0,955.75
2018-01-25,992.25,1002.0,987.0,992.0,154146.0,992.25,984.25,968.75,947.0
2018-01-26,985.5,995.5,983.75,990.25,110339.0,992.25,986.25,973.0,940.5
2018-01-29,991.5,998.75,986.25,992.25,143395.0,985.5,992.25,977.25,944.0
2018-01-30,1000.25,1004.75,988.25,994.5,169083.0,991.5,992.25,984.25,968.0
2018-01-31,995.75,1002.0,989.0,1000.0,165828.0,1000.25,985.5,986.25,968.75
2018-02-01,985.0,995.5,977.5,995.25,159220.0,995.75,991.5,992.25,973.0
2018-02-02,978.75,986.25,977.0,985.75,100314.0,985.0,1000.25,992.25,977.25
2018-02-05,969.75,977.5,969.5,976.25,128425.0,978.75,995.75,985.5,984.25
2018-02-06,986.25,987.5,967.75,969.75,179233.0,969.75,985.0,991.5,986.25
2018-02-07,983.0,993.75,982.0,988.75,167291.0,986.25,978.75,1000.25,992.25
2018-02-08,987.75,996.0,977.75,983.25,230204.0,983.0,969.75,995.75,992.25
2018-02-09,983.0,989.75,979.75,987.5,164565.0,987.75,986.25,985.0,985.5
2018-02-12,1001.75,1004.25,989.0,995.5,215178.0,983.0,983.0,978.75,991.5
2018-02-13,1011.75,1013.5,998.75,1001.0,177145.0,1001.75,987.75,969.75,1000.25
2018-02-14,1017.25,1019.5,1006.0,1011.25,154450.0,1011.75,983.0,986.25,995.75
